misra1,misra2,Poetry
پرافشاں ہے غبار آں سوئے صحرائے عدم میرا,,پرافشاں ہے غبار آں سوئے صحرائے عدم میرا 
ہوائے صبح یک عالم گریباں چاکی گل ہے,,ہوائے صبح یک عالم گریباں چاکی گل ہے 
دہان زخم پیدا کر اگر کھاتا ہے غم میرا,,دہان زخم پیدا کر اگر کھاتا ہے غم میرا 
نہ ہو وحشت کش درس سراب سطر آگاہی,,نہ ہو وحشت کش درس سراب سطر آگاہی 
میں گرد راہ ہوں بے مدعا ہے پیچ و خم میرا,,میں گرد راہ ہوں بے مدعا ہے پیچ و خم میرا 
اسدؔ وحشت پرست گوشۂ تنہائی دل ہے,,اسدؔ وحشت پرست گوشۂ تنہائی دل ہے 
برنگ موج مے خمیازۂ ساغر ہے رم میرا,,برنگ موج مے خمیازۂ ساغر ہے رم میرا 
 ,,  
نوید امن ہے بیداد دوست جاں کے لیے,,نوید امن ہے بیداد دوست جاں کے لیے 
رہی نہ طرز ستم کوئی آسماں کے لیے,,رہی نہ طرز ستم کوئی آسماں کے لیے 
بلا سے گر مژۂ یار تشنۂ خوں ہے,,بلا سے گر مژۂ یار تشنۂ خوں ہے 
رکھوں کچھ اپنی بھی مژگان خوں فشاں کے لیے,,رکھوں کچھ اپنی بھی مژگان خوں فشاں کے لیے 
وہ زندہ ہم ہیں کہ ہیں روشناس خلق اے خضر,,وہ زندہ ہم ہیں کہ ہیں روشناس خلق اے خضر 
نہ تم کہ چور بنے عمر جاوداں کے لیے,,نہ تم کہ چور بنے عمر جاوداں کے لیے 
رہا بلا میں بھی میں مبتلائے آفت رشک,,رہا بلا میں بھی میں مبتلائے آفت رشک 
بلائے جاں ہے ادا تیری اک جہاں کے لیے,,بلائے جاں ہے ادا تیری اک جہاں کے لیے 
فلک نہ دور رکھ اس سے مجھے کہ میں ہی نہیں,,فلک نہ دور رکھ اس سے مجھے کہ میں ہی نہیں 
دراز دستی قاتل کے امتحاں کے لیے,,دراز دستی قاتل کے امتحاں کے لیے 
مثال یہ مری کوشش کی ہے کہ مرغ اسیر,,مثال یہ مری کوشش کی ہے کہ مرغ اسیر 
کرے قفس میں فراہم خس آشیاں کے لیے,,کرے قفس میں فراہم خس آشیاں کے لیے 
گدا سمجھ کے وہ چپ تھا مری جو شامت آئی,,گدا سمجھ کے وہ چپ تھا مری جو شامت آئی 
اٹھا اور اٹھ کے قدم میں نے پاسباں کے لیے,,اٹھا اور اٹھ کے قدم میں نے پاسباں کے لیے 
بہ قدر شوق نہیں ظرف تنگنائے غزل,,بہ قدر شوق نہیں ظرف تنگنائے غزل 
کچھ اور چاہیے وسعت مرے بیاں کے لیے,,کچھ اور چاہیے وسعت مرے بیاں کے لیے 
دیا ہے خلق کو بھی تا اسے نظر نہ لگے,,دیا ہے خلق کو بھی تا اسے نظر نہ لگے 
بنا ہے عیش تجمل حسین خاں کے لیے,,بنا ہے عیش تجمل حسین خاں کے لیے 
زباں پہ بار خدایا یہ کس کا نام آیا,,زباں پہ بار خدایا یہ کس کا نام آیا 
کہ میرے نطق نے بوسے مری زباں کے لیے,,کہ میرے نطق نے بوسے مری زباں کے لیے 
نصیر دولت و دیں اور معین ملت و ملک,,نصیر دولت و دیں اور معین ملت و ملک 
بنا ہے چرخ بریں جس کے آستاں کے لیے,,بنا ہے چرخ بریں جس کے آستاں کے لیے 
زمانہ عہد میں اس کے ہے محو آرایش,,زمانہ عہد میں اس کے ہے محو آرایش 
بنیں گے اور ستارے اب آسماں کے لیے,,بنیں گے اور ستارے اب آسماں کے لیے 
ورق تمام ہوا اور مدح باقی ہے,,ورق تمام ہوا اور مدح باقی ہے 
سفینہ چاہیے اس بحر بیکراں کے لیے,,سفینہ چاہیے اس بحر بیکراں کے لیے 
ادائے خاص سے غالبؔ ہوا ہے نکتہ سرا,,ادائے خاص سے غالبؔ ہوا ہے نکتہ سرا 
صلائے عام ہے یاران نکتہ داں کے لیے,,صلائے عام ہے یاران نکتہ داں کے لیے 
ستائش گر ہے زاہد اس قدر جس باغ رضواں کا,,ستائش گر ہے زاہد اس قدر جس باغ رضواں کا 
وہ اک گلدستہ ہے ہم بے خودوں کے طاق نسیاں کا,,وہ اک گلدستہ ہے ہم بے خودوں کے طاق نسیاں کا 
بیاں کیا کیجیے بیداد کاوش ہائے مژگاں کا,,بیاں کیا کیجیے بیداد کاوش ہائے مژگاں کا 
کہ ہر یک قطرۂ خوں دانہ ہے تسبیح مرجاں کا,,کہ ہر یک قطرۂ خوں دانہ ہے تسبیح مرجاں کا 
نہ آئی سطوت قاتل بھی مانع میرے نالوں کو,,نہ آئی سطوت قاتل بھی مانع میرے نالوں کو 
لیا دانتوں میں جو تنکا ہوا ریشہ نیستاں کا,,لیا دانتوں میں جو تنکا ہوا ریشہ نیستاں کا 
دکھاؤں گا تماشا دی اگر فرصت زمانے نے,,دکھاؤں گا تماشا دی اگر فرصت زمانے نے 
مرا ہر داغ دل اک تخم ہے سرو چراغاں کا,,مرا ہر داغ دل اک تخم ہے سرو چراغاں کا 
کیا آئینہ خانے کا وہ نقشہ تیرے جلوے نے,,کیا آئینہ خانے کا وہ نقشہ تیرے جلوے نے 
کرے جو پرتو خورشید عالم شبنمستاں کا,,کرے جو پرتو خورشید عالم شبنمستاں کا 
مری تعمیر میں مضمر ہے اک صورت خرابی کی,,مری تعمیر میں مضمر ہے اک صورت خرابی کی 
ہیولیٰ برق خرمن کا ہے خون گرم دہقاں کا,,ہیولیٰ برق خرمن کا ہے خون گرم دہقاں کا 
اگا ہے گھر میں ہر سو سبزہ ویرانی تماشا کر,,اگا ہے گھر میں ہر سو سبزہ ویرانی تماشا کر 
مدار اب کھودنے پر گھاس کے ہے میرے درباں کا,,مدار اب کھودنے پر گھاس کے ہے میرے درباں کا 
خموشی میں نہاں خوں گشتہ لاکھوں آرزوئیں ہیں,,خموشی میں نہاں خوں گشتہ لاکھوں آرزوئیں ہیں 
چراغ مردہ ہوں میں بے زباں گور غریباں کا,,چراغ مردہ ہوں میں بے زباں گور غریباں کا 
ہنوز اک پرتو نقش خیال یار باقی ہے,,ہنوز اک پرتو نقش خیال یار باقی ہے 
دل افسردہ گویا حجرہ ہے یوسف کے زنداں کا,,دل افسردہ گویا حجرہ ہے یوسف کے زنداں کا 
بغل میں غیر کی آج آپ سوتے ہیں کہیں ورنہ,,بغل میں غیر کی آج آپ سوتے ہیں کہیں ورنہ 
سبب کیا خواب میں آ کر تبسم ہائے پنہاں کا,,سبب کیا خواب میں آ کر تبسم ہائے پنہاں کا 
نہیں معلوم کس کس کا لہو پانی ہوا ہوگا,,نہیں معلوم کس کس کا لہو پانی ہوا ہوگا 
قیامت ہے سرشک آلودہ ہونا تیری مژگاں کا,,قیامت ہے سرشک آلودہ ہونا تیری مژگاں کا 
نظر میں ہے ہماری جادۂ راہ فنا غالبؔ,,نظر میں ہے ہماری جادۂ راہ فنا غالبؔ 
کہ یہ شیرازہ ہے عالم کے اجزائے پریشاں کا,,کہ یہ شیرازہ ہے عالم کے اجزائے پریشاں کا 
 ,,  
دہر میں نقش وفا وجہ تسلی نہ ہوا,,دہر میں نقش وفا وجہ تسلی نہ ہوا 
ہے یہ وہ لفظ کہ شرمندۂ معنی نہ ہوا,,ہے یہ وہ لفظ کہ شرمندۂ معنی نہ ہوا 
سبزۂ خط سے ترا کاکل سرکش نہ دبا,,سبزۂ خط سے ترا کاکل سرکش نہ دبا 
یہ زمرد بھی حریف دم افعی نہ ہوا,,یہ زمرد بھی حریف دم افعی نہ ہوا 
میں نے چاہا تھا کہ اندوہ وفا سے چھوٹوں,,میں نے چاہا تھا کہ اندوہ وفا سے چھوٹوں 
وہ ستم گر مرے مرنے پہ بھی راضی نہ ہوا,,وہ ستم گر مرے مرنے پہ بھی راضی نہ ہوا 
دل گزر گاہ خیال مے و ساغر ہی سہی,,دل گزر گاہ خیال مے و ساغر ہی سہی 
گر نفس جادۂ سر منزل تقوی نہ ہوا,,گر نفس جادۂ سر منزل تقوی نہ ہوا 
ہوں ترے وعدہ نہ کرنے میں بھی راضی کہ کبھی,,ہوں ترے وعدہ نہ کرنے میں بھی راضی کہ کبھی 
گوش منت کش گلبانگ تسلی نہ ہوا,,گوش منت کش گلبانگ تسلی نہ ہوا 
کس سے محرومیٔ قسمت کی شکایت کیجے,,کس سے محرومیٔ قسمت کی شکایت کیجے 
ہم نے چاہا تھا کہ مر جائیں سو وہ بھی نہ ہوا,,ہم نے چاہا تھا کہ مر جائیں سو وہ بھی نہ ہوا 
مر گیا صدمۂ یک جنبش لب سے غالبؔ,,مر گیا صدمۂ یک جنبش لب سے غالبؔ 
ناتوانی سے حریف دم عیسی نہ ہوا,,ناتوانی سے حریف دم عیسی نہ ہوا 
نہ ہوئی ہم سے رقم حیرت خط رخ یار,,نہ ہوئی ہم سے رقم حیرت خط رخ یار 
صفحۂ آئنہ جولاں گہ طوطی نہ ہوا,,صفحۂ آئنہ جولاں گہ طوطی نہ ہوا 
وسعت رحمت حق دیکھ کہ بخشا جاوے,,وسعت رحمت حق دیکھ کہ بخشا جاوے 
مجھ سا کافر کہ جو ممنون معاصی نہ ہوا,,مجھ سا کافر کہ جو ممنون معاصی نہ ہوا 
 ,,  
شمار سبحہ مرغوب بت مشکل پسند آیا,,شمار سبحہ مرغوب بت مشکل پسند آیا 
تماشاۓ بہ یک کف بردن صد دل پسند آیا,,تماشاۓ بہ یک کف بردن صد دل پسند آیا 
بہ فیض بے دلی نومیدی جاوید آساں ہے,,بہ فیض بے دلی نومیدی جاوید آساں ہے 
کشایش کو ہمارا عقدۂ مشکل پسند آیا,,کشایش کو ہمارا عقدۂ مشکل پسند آیا 
ہوائے سیر گل آئینۂ بے مہری قاتل,,ہوائے سیر گل آئینۂ بے مہری قاتل 
کہ انداز بہ خوں غلتیدن بسمل پسند آیا,,کہ انداز بہ خوں غلتیدن بسمل پسند آیا 
روانی ہاۓ موج خون بسمل سے ٹپکتا ہے,,روانی ہاۓ موج خون بسمل سے ٹپکتا ہے 
کہ لطف بے تحاشا رفتن قاتل پسند آیا,,کہ لطف بے تحاشا رفتن قاتل پسند آیا 
اسدؔ ہر جا سخن نے طرح باغ تازہ ڈالی ہے,,اسدؔ ہر جا سخن نے طرح باغ تازہ ڈالی ہے 
مجھے رنگ بہار ایجادی بیدل پسند آیا,,مجھے رنگ بہار ایجادی بیدل پسند آیا 
 ,,  
دھمکی میں مر گیا جو نہ باب نبرد تھا,,دھمکی میں مر گیا جو نہ باب نبرد تھا 
عشق نبرد پیشہ طلب گار مرد تھا,,عشق نبرد پیشہ طلب گار مرد تھا 
تھا زندگی میں مرگ کا کھٹکا لگا ہوا,,تھا زندگی میں مرگ کا کھٹکا لگا ہوا 
اڑنے سے پیشتر بھی مرا رنگ زرد تھا,,اڑنے سے پیشتر بھی مرا رنگ زرد تھا 
تالیف نسخہ ہائے وفا کر رہا تھا میں,,تالیف نسخہ ہائے وفا کر رہا تھا میں 
مجموعۂ خیال ابھی فرد فرد تھا,,مجموعۂ خیال ابھی فرد فرد تھا 
دل تا جگر کہ ساحل دریائے خوں ہے اب,,دل تا جگر کہ ساحل دریائے خوں ہے اب 
اس رہ گزر میں جلوۂ گل آگے گرد تھا,,اس رہ گزر میں جلوۂ گل آگے گرد تھا 
جاتی ہے کوئی کشمکش اندوہ عشق کی,,جاتی ہے کوئی کشمکش اندوہ عشق کی 
دل بھی اگر گیا تو وہی دل کا درد تھا,,دل بھی اگر گیا تو وہی دل کا درد تھا 
احباب چارہ سازی وحشت نہ کر سکے,,احباب چارہ سازی وحشت نہ کر سکے 
زنداں میں بھی خیال بیاباں نورد تھا,,زنداں میں بھی خیال بیاباں نورد تھا 
یہ لاش بے کفن اسدؔ خستہ جاں کی ہے,,یہ لاش بے کفن اسدؔ خستہ جاں کی ہے 
حق مغفرت کرے عجب آزاد مرد تھا,,حق مغفرت کرے عجب آزاد مرد تھا 
 ,,  
شوق ہر رنگ رقیب سر و ساماں نکلا,,شوق ہر رنگ رقیب سر و ساماں نکلا 
قیس تصویر کے پردے میں بھی عریاں نکلا,,قیس تصویر کے پردے میں بھی عریاں نکلا 
زخم نے داد نہ دی تنگئ دل کی یا رب,,زخم نے داد نہ دی تنگئ دل کی یا رب 
تیر بھی سینۂ بسمل سے پرافشاں نکلا,,تیر بھی سینۂ بسمل سے پرافشاں نکلا 
بوئے گل نالۂ دل دود چراغ محفل,,بوئے گل نالۂ دل دود چراغ محفل 
جو تری بزم سے نکلا سو پریشاں نکلا,,جو تری بزم سے نکلا سو پریشاں نکلا 
دل حسرت زدہ تھا مائدۂ لذت درد,,دل حسرت زدہ تھا مائدۂ لذت درد 
کام یاروں کا بہ قدر لب و دنداں نکلا,,کام یاروں کا بہ قدر لب و دنداں نکلا 
تھی نوآموز فنا ہمت دشوار پسند,,تھی نوآموز فنا ہمت دشوار پسند 
سخت مشکل ہے کہ یہ کام بھی آساں نکلا,,سخت مشکل ہے کہ یہ کام بھی آساں نکلا 
دل میں پھر گریہ نے اک شور اٹھایا غالبؔ,,دل میں پھر گریہ نے اک شور اٹھایا غالبؔ 
آہ جو قطرہ نہ نکلا تھا سو طوفاں نکلا,,آہ جو قطرہ نہ نکلا تھا سو طوفاں نکلا 
کارخانے سے جنوں کے بھی میں عریاں نکلا,,کارخانے سے جنوں کے بھی میں عریاں نکلا 
میری قسمت کا نہ ایک آدھ گریباں نکلا,,میری قسمت کا نہ ایک آدھ گریباں نکلا 
ساغر جلوۂ سرشار ہے ہر ذرۂ خاک,,ساغر جلوۂ سرشار ہے ہر ذرۂ خاک 
شوق دیدار بلا آئنہ ساماں نکلا,,شوق دیدار بلا آئنہ ساماں نکلا 
کچھ کھٹکتا تھا مرے سینے میں لیکن آخر,,کچھ کھٹکتا تھا مرے سینے میں لیکن آخر 
جس کو دل کہتے تھے سو تیر کا پیکاں نکلا,,جس کو دل کہتے تھے سو تیر کا پیکاں نکلا 
کس قدر خاک ہوا ہے دل مجنوں یا رب,,کس قدر خاک ہوا ہے دل مجنوں یا رب 
نقش ہر ذرہ سویداۓ بیاباں نکلا,,نقش ہر ذرہ سویداۓ بیاباں نکلا 
شور رسوائی دل دیکھ کہ یک نالۂ شوق,,شور رسوائی دل دیکھ کہ یک نالۂ شوق 
لاکھ پردے میں چھپا پر وہی عریاں نکلا,,لاکھ پردے میں چھپا پر وہی عریاں نکلا 
شوخیٔ رنگ حنا خون وفا سے کب تک,,شوخیٔ رنگ حنا خون وفا سے کب تک 
آخر اے عہد شکن تو بھی پشیماں نکلا,,آخر اے عہد شکن تو بھی پشیماں نکلا 
جوہر ایجاد خط سبز ہے خود بینیٔ حسن,,جوہر ایجاد خط سبز ہے خود بینیٔ حسن 
جو نہ دیکھا تھا سو آئینے میں پنہاں نکلا,,جو نہ دیکھا تھا سو آئینے میں پنہاں نکلا 
میں بھی معذور جنوں ہوں اسدؔ اے خانہ خراب,,میں بھی معذور جنوں ہوں اسدؔ اے خانہ خراب 
پیشوا لینے مجھے گھر سے بیاباں نکلا,,پیشوا لینے مجھے گھر سے بیاباں نکلا 
 ,,  
دل مرا سوز نہاں سے بے محابا جل گیا,,دل مرا سوز نہاں سے بے محابا جل گیا 
آتش خاموش کی مانند گویا جل گیا,,آتش خاموش کی مانند گویا جل گیا 
دل میں ذوق وصل و یاد یار تک باقی نہیں,,دل میں ذوق وصل و یاد یار تک باقی نہیں 
آگ اس گھر میں لگی ایسی کہ جو تھا جل گیا,,آگ اس گھر میں لگی ایسی کہ جو تھا جل گیا 
میں عدم سے بھی پرے ہوں ورنہ غافل بارہا,,میں عدم سے بھی پرے ہوں ورنہ غافل بارہا 
میری آہ آتشیں سے بال عنقا جل گیا,,میری آہ آتشیں سے بال عنقا جل گیا 
عرض کیجے جوہر اندیشہ کی گرمی کہاں,,عرض کیجے جوہر اندیشہ کی گرمی کہاں 
کچھ خیال آیا تھا وحشت کا کہ صحرا جل گیا,,کچھ خیال آیا تھا وحشت کا کہ صحرا جل گیا 
دل نہیں تجھ کو دکھاتا ورنہ داغوں کی بہار,,دل نہیں تجھ کو دکھاتا ورنہ داغوں کی بہار 
اس چراغاں کا کروں کیا کار فرما جل گیا,,اس چراغاں کا کروں کیا کار فرما جل گیا 
میں ہوں اور افسردگی کی آرزو غالبؔ کہ دل,,میں ہوں اور افسردگی کی آرزو غالبؔ کہ دل 
دیکھ کر طرز تپاک اہل دنیا جل گیا,,دیکھ کر طرز تپاک اہل دنیا جل گیا 
خانمان عاشقاں دکان آتش باز ہے,,خانمان عاشقاں دکان آتش باز ہے 
شعلہ رو جب ہو گئے گرم تماشا جل گیا,,شعلہ رو جب ہو گئے گرم تماشا جل گیا 
تا کجا افسوس گرمی ہاۓ صحبت اے خیال,,تا کجا افسوس گرمی ہاۓ صحبت اے خیال 
دل بہ سوز آتش داغ تمنا جل گیا,,دل بہ سوز آتش داغ تمنا جل گیا 
ہے اسدؔ بیگانۂ افسردگی اے بیکسی,,ہے اسدؔ بیگانۂ افسردگی اے بیکسی 
دل ز انداز تپاک اہل دنیا جل گیا,,دل ز انداز تپاک اہل دنیا جل گیا 
دود میرا سنبلستاں سے کرے ہے ہم سری,,دود میرا سنبلستاں سے کرے ہے ہم سری 
بسکہ شوق آتش گل سے سراپا جل گیا,,بسکہ شوق آتش گل سے سراپا جل گیا 
شمع رویاں کی سر انگشت حنائی دیکھ کر,,شمع رویاں کی سر انگشت حنائی دیکھ کر 
غنچۂ گل پرفشاں پروانہ آسا جل گیا,,غنچۂ گل پرفشاں پروانہ آسا جل گیا 
 ,,  
کہتے ہو نہ دیں گے ہم دل اگر پڑا پایا,,کہتے ہو نہ دیں گے ہم دل اگر پڑا پایا 
دل کہاں کہ گم کیجے ہم نے مدعا پایا,,دل کہاں کہ گم کیجے ہم نے مدعا پایا 
عشق سے طبیعت نے زیست کا مزا پایا,,عشق سے طبیعت نے زیست کا مزا پایا 
درد کی دوا پائی درد بے دوا پایا,,درد کی دوا پائی درد بے دوا پایا 
دوست دار دشمن ہے اعتماد دل معلوم,,دوست دار دشمن ہے اعتماد دل معلوم 
آہ بے اثر دیکھی نالہ نارسا پایا,,آہ بے اثر دیکھی نالہ نارسا پایا 
سادگی و پرکاری بے خودی و ہشیاری,,سادگی و پرکاری بے خودی و ہشیاری 
حسن کو تغافل میں جرأت آزما پایا,,حسن کو تغافل میں جرأت آزما پایا 
غنچہ پھر لگا کھلنے آج ہم نے اپنا دل,,غنچہ پھر لگا کھلنے آج ہم نے اپنا دل 
خوں کیا ہوا دیکھا گم کیا ہوا پایا,,خوں کیا ہوا دیکھا گم کیا ہوا پایا 
حال دل نہیں معلوم لیکن اس قدر یعنی,,حال دل نہیں معلوم لیکن اس قدر یعنی 
ہم نے بارہا ڈھونڈا تم نے بارہا پایا,,ہم نے بارہا ڈھونڈا تم نے بارہا پایا 
شور پند ناصح نے زخم پر نمک چھڑکا,,شور پند ناصح نے زخم پر نمک چھڑکا 
آپ سے کوئی پوچھے تم نے کیا مزا پایا,,آپ سے کوئی پوچھے تم نے کیا مزا پایا 
ہے کہاں تمنا کا دوسرا قدم یا رب,,ہے کہاں تمنا کا دوسرا قدم یا رب 
ہم نے دشت امکاں کو ایک نقش پا پایا,,ہم نے دشت امکاں کو ایک نقش پا پایا 
بے دماغ خجلت ہوں رشک امتحاں تا کے,,بے دماغ خجلت ہوں رشک امتحاں تا کے 
ایک بیکسی تجھ کو عالم آشنا پایا,,ایک بیکسی تجھ کو عالم آشنا پایا 
خاک بازی امید کارخانۂ طفلی,,خاک بازی امید کارخانۂ طفلی 
یاس کو دو عالم سے لب بہ خندہ وا پایا,,یاس کو دو عالم سے لب بہ خندہ وا پایا 
کیوں نہ وحشت غالب باج خواہ تسکیں ہو,,کیوں نہ وحشت غالب باج خواہ تسکیں ہو 
کشتۂ تغافل کو خصم خوں بہا پایا,,کشتۂ تغافل کو خصم خوں بہا پایا 
فکر نالہ میں گویا حلقہ ہوں ز سر تا پا,,فکر نالہ میں گویا حلقہ ہوں ز سر تا پا 
عضو عضو جوں زنجیر یک دل صدا پایا,,عضو عضو جوں زنجیر یک دل صدا پایا 
شب نظارہ پرور تھا خواب میں خیال اس کا,,شب نظارہ پرور تھا خواب میں خیال اس کا 
صبح موجۂ گل کو نقش بوریا پایا,,صبح موجۂ گل کو نقش بوریا پایا 
جس قدر جگر خوں ہو کوچہ دادن گل ہے,,جس قدر جگر خوں ہو کوچہ دادن گل ہے 
زخم تیغ قاتل کو طرفہ دل کشا پایا,,زخم تیغ قاتل کو طرفہ دل کشا پایا 
ہے مکیں کی پا داری نام صاحب خانہ,,ہے مکیں کی پا داری نام صاحب خانہ 
ہم سے تیرے کوچے نے نقش مدعا پایا,,ہم سے تیرے کوچے نے نقش مدعا پایا 
نے اسدؔ جفا سائل نے ستم جنوں مائل,,نے اسدؔ جفا سائل نے ستم جنوں مائل 
تجھ کو جس قدر ڈھونڈا الفت آزما پایا,,تجھ کو جس قدر ڈھونڈا الفت آزما پایا 
نقش فریادی ہے کس کی شوخی تحریر کا,,نقش فریادی ہے کس کی شوخی تحریر کا 
کاغذی ہے پیرہن ہر پیکر تصویر کا,,کاغذی ہے پیرہن ہر پیکر تصویر کا 
کاو کاو سخت جانی ہائے تنہائی نہ پوچھ,,کاو کاو سخت جانی ہائے تنہائی نہ پوچھ 
صبح کرنا شام کا لانا ہے جوئے شیر کا,,صبح کرنا شام کا لانا ہے جوئے شیر کا 
جذبۂ بے اختیار شوق دیکھا چاہئے,,جذبۂ بے اختیار شوق دیکھا چاہئے 
سینۂ شمشیر سے باہر ہے دم شمشیر کا,,سینۂ شمشیر سے باہر ہے دم شمشیر کا 
آگہی دام شنیدن جس قدر چاہے بچھائے,,آگہی دام شنیدن جس قدر چاہے بچھائے 
مدعا عنقا ہے اپنے عالم تقریر کا,,مدعا عنقا ہے اپنے عالم تقریر کا 
بسکہ ہوں غالبؔ اسیری میں بھی آتش زیر پا,,بسکہ ہوں غالبؔ اسیری میں بھی آتش زیر پا 
موئے آتش دیدہ ہے حلقہ مری زنجیر کا,,موئے آتش دیدہ ہے حلقہ مری زنجیر کا 
آتشیں پا ہوں گداز وحشت زنداں نہ پوچھ,,آتشیں پا ہوں گداز وحشت زنداں نہ پوچھ 
موئے آتش دیدہ ہے ہر حلقہ یاں زنجیر کا,,موئے آتش دیدہ ہے ہر حلقہ یاں زنجیر کا 
شوخیٔ نیرنگ صید وحشت طاؤس ہے,,شوخیٔ نیرنگ صید وحشت طاؤس ہے 
دام سبزہ میں ہے پرواز چمن تسخیر کا,,دام سبزہ میں ہے پرواز چمن تسخیر کا 
لذت ایجاد ناز افسون عرض ذوق قتل,,لذت ایجاد ناز افسون عرض ذوق قتل 
نعل آتش میں ہے تیغ یار سے نخچیر کا,,نعل آتش میں ہے تیغ یار سے نخچیر کا 
خشت پشت دست عجز و قالب آغوش وداع,,خشت پشت دست عجز و قالب آغوش وداع 
پر ہوا ہے سیل سے پیمانہ کس تعمیر کا,,پر ہوا ہے سیل سے پیمانہ کس تعمیر کا 
وحشت خواب عدم شور تماشا ہے اسدؔ,,وحشت خواب عدم شور تماشا ہے اسدؔ 
جو مزہ جوہر نہیں آئینۂ تعبیر کا,,جو مزہ جوہر نہیں آئینۂ تعبیر کا 
غالب کی زمین میں چند اشعار کہنے کی جسارت,,غالب کی زمین میں چند اشعار کہنے کی جسارت 
'' درد مِنت کشِ دوا نہ ہوا,,'' درد مِنت کشِ دوا نہ ہوا 
میں نہ اچھا ہوا برا نہ ہوا,,میں نہ اچھا ہوا برا نہ ہوا 
'' غالب,,'' غالب 
میری کاوش,,میری کاوش 
جس میں اخلاص کا مزا نہ ہوا,,جس میں اخلاص کا مزا نہ ہوا 
وہ تعلق بھی دیر پا نہ ہوا,,وہ تعلق بھی دیر پا نہ ہوا 
وہ کبھی دوست ہونہیں سکتا,,وہ کبھی دوست ہونہیں سکتا 
جو کبھی تم سے گر خفا نہ ہوا,,جو کبھی تم سے گر خفا نہ ہوا 
شدتِ غم سے دل رکا ایسے,,شدتِ غم سے دل رکا ایسے 
پھردھڑکنےکاحوصلہ نہ ہوا,,پھردھڑکنےکاحوصلہ نہ ہوا 
میرا قد اور ہو گیا اونچا,,میرا قد اور ہو گیا اونچا 
کھینچنے والوں سےگلا نہ ہوا,,کھینچنے والوں سےگلا نہ ہوا 
ڈھونڈتےہو اسے بتوں میں کیا,,ڈھونڈتےہو اسے بتوں میں کیا 
ہاتھ جو آئے وہ خدا نہ ہوا,,ہاتھ جو آئے وہ خدا نہ ہوا 
یوں تو دنیا میں ہیں بہت شاعر,,یوں تو دنیا میں ہیں بہت شاعر 
تجھ سا غالب غزل سرا نہ ہوا,,تجھ سا غالب غزل سرا نہ ہوا 
ذلیل ہے ہٹ کر,,ذلیل ہے ہٹ کر 
کھڑا ہو سب کے سامنے,,کھڑا ہو سب کے سامنے 
تو دین پہ ڈٹ کر,,تو دین پہ ڈٹ کر 
 ,,  
سلام اسے کہ اگر بادشا کہیں اُس کو,,سلام اسے کہ اگر بادشا کہیں اُس کو 
تو پھر کہیں کہ کچھ اِس سے سوا کہیں اُس کو,,تو پھر کہیں کہ کچھ اِس سے سوا کہیں اُس کو 
"نہ بادشاہ نہ سلطاں، یہ کیا ستائش ہے؟",,"نہ بادشاہ نہ سلطاں، یہ کیا ستائش ہے؟ "
کہو کہ خامسِ آلِ عبا کہیں اُس کو,,کہو کہ خامسِ آلِ عبا کہیں اُس کو 
خدا کی راہ میں شاہی و خسروی کیسی؟,,خدا کی راہ میں شاہی و خسروی کیسی؟ 
کہو کہ رہبرِ راہِ خدا کہیں اُس کو,,کہو کہ رہبرِ راہِ خدا کہیں اُس کو 
"خدا کا بندہ، خداوندگار بندوں کا",,"خدا کا بندہ، خداوندگار بندوں کا "
"اگر کہیں نہ خداوند، کیا کہیں اُس کو؟",,"اگر کہیں نہ خداوند، کیا کہیں اُس کو؟ "
"فروغِ جوہرِ ایماں، حسین ابنِ علی",,"فروغِ جوہرِ ایماں، حسین ابنِ علی "
کہ شمعِ انجمنِ کبریا کہیں اُس کو,,کہ شمعِ انجمنِ کبریا کہیں اُس کو 
"کفیلِ بخششِ اُمّت ہے، بن نہیں پڑتی",,"کفیلِ بخششِ اُمّت ہے، بن نہیں پڑتی "
اگر نہ شافعِ روزِ جزا کہیں اُس کو,,اگر نہ شافعِ روزِ جزا کہیں اُس کو 
مسیح جس سے کرے اخذِ فیضِ جاں بخشی,,مسیح جس سے کرے اخذِ فیضِ جاں بخشی 
ستم ہے کُشتۂ تیغِ جفا کہیں اُس کو,,ستم ہے کُشتۂ تیغِ جفا کہیں اُس کو 
وہ جس کے ماتمیوں پر ہے سلسبیل سبیل,,وہ جس کے ماتمیوں پر ہے سلسبیل سبیل 
شہیدِ تشنہ لبِ کربلا کہیں اُس کو,,شہیدِ تشنہ لبِ کربلا کہیں اُس کو 
عدو کے سمعِ رضا میں جگہ نہ پاۓ وہ بات,,عدو کے سمعِ رضا میں جگہ نہ پاۓ وہ بات 
کہ جنّ و انس و ملَک سب بجا کہیں اُس کو,,کہ جنّ و انس و ملَک سب بجا کہیں اُس کو 
بہت ہے پایۂ گردِ رہِ حسین بلند,,بہت ہے پایۂ گردِ رہِ حسین بلند 
بہ قدرِ فہم ہے اگر کیمیا کہیں اُس کو,,بہ قدرِ فہم ہے اگر کیمیا کہیں اُس کو 
نظارہ سوز ہے یاں تک ہر ایک ذرّۂ خاک,,نظارہ سوز ہے یاں تک ہر ایک ذرّۂ خاک 
کہ ایک جوہرِ تیغِ قضا کہیں اُس کو,,کہ ایک جوہرِ تیغِ قضا کہیں اُس کو 
ہمارے درد کی یا رب کہیں دوا نہ ملے,,ہمارے درد کی یا رب کہیں دوا نہ ملے 
